id	num_of_genes	pos_rel_genes	neg_rel_genes
C099660	2	231,57016	9043,2272
C552860	3	836,3725,5599	5594,10907,23581
C081565	12	3576,1543,3630,5594,5595,3084,5321,5743,6282,6648,7124,7422	4738,9437,284111,55650,59342,64285,55198,64342,11074,9076,23532,22928
D001542	29	80332,367,581,596,701,6361,3576,1586,1588,1649,9451,2081,2099,3065,3309,3678,3688,354,4313,4318,9971,94103,142,5328,5270,7076,7077,85480,7317	9783,283571,10945,9119,55679,4948,23500,9022,64112,10910,1030,54206,84839,5357,113189,6002,3198,6689,442894,113675,23193,93377,2258,65057,387338,90135,54659,435,4916
D001547	2	8854,217	284114,127933
D001546	2	1137,1141	51569,2767
D001549	6	8309,595,1374,22943,3756,5465	117581,6622,9622,2109,7125,6257
D001548	40	19,26154,23460,8705,6351,1490,84518,3576,7852,1543,1593,1717,10682,1958,64834,7430,2247,3111,3112,3113,3115,3120,3156,3383,3586,3552,3553,3569,3575,3812,1432,4916,10471,5863,6222,6319,6721,6892,7124,9277	255022,2013,5063,10426,8797,6776,4360,148,2042,2108,90637,10870,84811,57089,83473,22992,4648,9353,40,9352,54716,631,5664,5340,3656,259230,161436,4725,56924,4602,55687,9051,5601,22824,6449,25865,5355,145501,54606,7812
C474837	31	47,358,360,367,960,999,1277,4512,114757,1950,2100,2200,2246,2896,3315,3479,9365,3852,4157,4846,5241,8985,5443,5468,5886,5914,6649,6716,7178,7295,7306	23143,25878,81706,475,132949,3476,8925,79930,55970,5908,2296,338440,59277,347734,29789,55197,54675,8312,84163,10085,3675,2824,4482,2892,374407,340075,64151,57580,283989,64343,64131
C520511	2	760,412	1673,1436
C023722	3	4790,5743,5970	219771,10514,53345
C023723	6	1645,1646,8644,1545,1553,1548	2050,9150,10651,29114,10776,2634
C480543	2	10135,93100	22887,8099
C480546	5	941,942,3458,3592,3593	151871,5695,214,84223,8861
D011064	2	2074,142	84135,79648
C089020	6	581,596,598,836,840,142	55131,8708,7442,29777,10621,1306
C058118	5	1026,5423,11201,51426,353497	54850,474344,165545,25814,27291
C072105	18	5243,196,57491,8536,815,836,6346,595,3576,1585,1543,1545,2309,3091,3162,3553,5594,5595	6633,260429,55844,1033,26574,2767,7417,4838,54431,4760,26123,5359,6538,1102,9463,442186,8975,1676
C513485	6	367,1026,1027,142,5241,6502	23376,4923,51115,5207,9619,54704
C047382	6	597,329,330,841,4790,7124	26033,219770,26227,9304,1474,8464
C001599	7	43,847,2539,2936,3945,6647,7296	23054,7224,10894,9615,10940,246184,54822
C001598	4	1906,3091,7124,7422	3084,5650,64236,60675
C506907	2	2099,5336	3791,9878
D000077464	3	10,4879,9971	6786,2491,10482
D053590	8	1401,1440,3576,3146,3552,3553,3569,114548	5204,83795,11215,6908,255928,593,51188,9271
C009237	66	8647,1244,8714,368,2181,6296,3899,189,4329,64577,374,570,598,836,841,842,1583,1543,1544,1545,1553,1562,1571,1576,64816,1577,1579,57834,66002,1581,1582,10202,10170,1806,2053,2330,2669,2744,10249,27232,10243,2941,2952,3176,3669,23764,4312,4703,4837,1728,142,5789,11069,6236,6303,10864,114571,28234,6818,6783,10178,57451,7172,7347,54657,79799	30,23190,9530,11009,1776,3226,3445,8654,57609,6047,64764,140823,57463,8905,57158,3448,51596,27102,54882,80341,55796,5457,55677,4007,151473,9629,3043,28988,221927,6880,58538,147011,94015,55973,3703,2978,10250,6009,79145,10077,83700,253512,29888,79651,2812,118442,83604,219348,151742,54941,83853,64067,92483,158038,3237,7263,1464,145957,59339,51513,9326,9056,84515,1469,435,29775
C009238	60	8647,8714,368,2180,6296,124,3899,189,7915,4329,64577,374,836,841,842,23491,1593,1558,1565,1576,1577,1579,284541,66002,4051,1581,1582,10170,1806,2053,2328,2330,2593,2669,2744,10249,10243,3176,3669,23764,4129,4312,51126,4703,4837,1728,5789,11069,6236,6554,10864,114571,11309,6783,6822,10178,57451,7347,133688,7498	4282,10450,4504,63973,10799,55009,3845,4515,56000,79180,1149,57556,59348,25956,115908,90333,22920,5316,2058,58499,210,6102,120526,23057,27000,10804,2193,129138,52,968,5034,55276,9262,8839,55038,23440,266722,7289,100642175,3357,27231,355,10124,4340,11240,272,23770,2103,6744,10747,51002,3619,9478,23401,22853,81555,5195,54888,10005,4651
C006014	2	1545,5743	92609,57724
C006012	39	13,171586,34,37,2180,51094,231,57016,1645,1646,8644,51129,360,51008,847,873,1050,1374,1558,1576,55970,3030,3032,3158,3162,81689,5105,5174,123,5465,5467,5468,6256,5054,10599,79639,10628,54658,8876	5394,5076,11253,4102,151473,7549,7978,23082,9648,547,23046,5992,373,6542,7776,8340,140609,83447,7436,166,6006,25984,51754,10226,79039,10407,25,339488,25827,845,55851,994,30827,81033,51312,90135,1409,127833,4330
C005066	9	596,836,841,1649,83939,440275,6897,7422,11193	11052,10730,123920,116843,10992,92335,5306,440574,10127
C544471	19	125,216,445,622,761,1337,1340,1562,1557,1576,1577,1579,2023,2512,2938,2944,5037,9104,7381	3458,5771,10317,80323,22865,805,27033,7203,23236,23271,1388,150696,64772,7917,3315,1198,118788,85865,5652
C002488	3	2099,2100,8856	9945,3770,55743
C584787	4	1585,2908,5468,6770	4583,23673,7874,7068
D053778	6	43,52,759,760,5770,5771	117245,57561,3344,83742,1478,57599
C012037	7	682,406991,4313,4318,8434,7076,7077	170482,27098,9397,10809,55040,3354,388630
C100082	3	43,213,10908	5093,79006,7483
C028519	5	1544,1548,1571,2099,2100	100507249,23294,375318,115019,1349
C062876	41	8647,348,596,598,836,8839,1026,1113,23529,6387,1528,1583,1586,780,1718,64180,2488,3158,8630,3479,3569,3640,3972,5594,5595,6307,9060,10857,84432,5634,5970,388,6770,6774,6847,6875,400629,7040,8741,7157,7422	4316,7068,55004,55127,8665,11001,2348,51651,7350,23037,55140,91,10124,65009,3799,128434,1123,6722,3606,56913,291,255743,56915,429,27348,6781,3346,2313,3151,6733,10541,489,55275,65057,79892,2665,5275,91869,2804,79800,57153
C058076	4	196,823,1543,3552	3850,5355,4815,4014
C508178	2	3576,7124	23233,64946
C067713	50	196,338,351,596,595,1027,1051,1052,1312,1499,3576,1591,1576,1649,1734,1977,51343,2744,3091,3297,3298,3309,3458,3553,3569,3684,4780,4792,5009,11315,64714,23645,5579,5710,5970,5054,6502,6555,1317,6622,6647,6794,7040,7124,9804,8626,51035,7415,7421,7494	22908,389125,84914,292,83881,29953,1959,34,8775,10910,4218,90480,55741,9765,26275,2840,11188,6494,9321,221895,375704,55313,117159,23357,51237,57722,1936,84939,256364,114882,9319,54963,7332,57626,63982,81786,7775,5948,6625,90381,5471,4284,54101,6208,8662,9545,51109,9262,51114,6695
C049325	6	2729,2936,3713,1728,22949,7296	9145,22853,118924,6196,842,10989
D000077362	4	27063,3491,1490,10413	26157,57147,51510,2880
D017035	29	19,5243,8647,1244,10257,9429,351,847,6347,1026,3576,3301,1906,2222,2720,3156,3569,3949,4000,4137,4193,4314,2475,5468,6403,10599,28234,11309,7157	4151,1,29931,222166,124454,79155,79692,55152,23012,6487,89839,399694,6314,55964,56894,4868,7577,4515,10814,389,3850,56912,8496,5860,284161,51248,9088,3749,368
C020754	12	1636,196,8912,1543,3162,3383,3458,5594,4312,7076,7124,7422	10365,79647,5205,9618,79890,221443,407021,266629,64855,114826,90459,9957
C020755	9	1236,941,3576,3162,23764,4502,7097,7124,7295	130,150274,5625,5470,254827,23411,118424,10599,2210
C010722	6	796,1906,6403,7018,4982,7450	3780,26507,6342,5934,1071,79778
C031639	11	231,221,8705,768,57214,1543,10170,2769,2774,374897,283375	689,2558,26063,10128,51652,5968,139538,112817,3170,28960,10631
C007768	26	5243,4363,1244,196,581,596,836,841,842,595,3576,1543,1544,1545,1565,2056,2099,2100,3091,4792,7157,54658,54575,54577,54576,54600	1810,64073,55770,55856,25802,51206,7104,5595,55450,79171,30816,135114,403341,10016,7042,25975,1347,81492,5224,54852,8045,51201,7296,10912,4284,7919
