id	num_of_genes	pos_rel_genes	neg_rel_genes
MODULE_116	15	535,1464,51382,9550,9114,8992,533,527,537,7350,526,9296,51606,529,7351	83985,81575,5319,759,5510,3204,6932,1831,1466,9454,6997,57212,8905,566,6175
GNF2_SELL	44	10695,9473,4170,9960,63940,963,9802,53827,567,23527,6778,7805,4615,837,51291,5062,10094,8635,9815,2124,9208,834,4600,397,64174,752,10312,5777,4067,114882,6402,3059,3385,3106,7454,3726,51170,4046,10475,11151,409,9535,27128,54918	11157,10472,136,23499,7444,65117,22803,56853,430,3902,9077,9742,84231,3292,25932,4738,84969,57409,1278,1842,55004,3615,23786,4598,5333,5634,10223,3257,53844,6844,6448,84164,1014,55275,2018,2645,6525,56990,56907,55511,11153,56978,51427,23070
MODULE_110	16	833,3735,4677,16,9255,6301,8565,5859,2617,3376,3035,2058,23438,8570,3978,7407	4913,9709,5152,540,10573,117245,2717,10519,56912,10575,2980,114907,10018,1644,7593,780
MORF_TPR	132	22872,686,23214,11329,4848,8834,670,5589,5861,6745,6433,6817,50626,51741,9519,79065,9640,6093,1455,26092,8242,10845,10075,3476,10467,5529,4357,9326,2137,23042,7023,4580,8723,5875,8629,5509,5694,10589,27336,10226,6880,11196,6873,55922,8703,1479,23008,8678,4201,2232,4087,55215,8402,4836,23636,55611,23197,23173,5571,3607,23093,54386,84901,10567,5073,4253,7703,130497,5281,573,23317,4682,2189,7175,10554,7319,3550,4927,1642,10712,6905,1024,6015,6814,9128,8458,84759,25920,9927,256364,6760,7508,23054,23633,51780,10898,5980,285527,1070,4801,27292,57680,9425,9675,9453,8766,10994,23131,8621,26292,56623,7264,3140,25970,2068,1107,22893,5296,11235,8019,4798,6992,11137,546,10573,1453,3608,2932,51593,3660,10260,8450	123879,9463,26470,27065,5985,51087,220972,5700,10196,781,2674,10085,675,9840,26751,114294,5908,64864,80740,9698,1201,366,9744,6440,5046,11045,94015,51170,6626,5620,117248,10745,90865,64783,362,55103,55904,11047,7444,3683,5911,65057,2051,9891,80833,4204,4171,357,114882,3055,30845,8563,2971,1131,70,56889,30816,1337,811,9879,540,140767,165904,1594,81611,6098,1388,5090,1048,7299,6158,5268,58504,6388,8273,3516,2030,1565,3624,3988,10772,3481,116987,117156,1141,9636,84888,8570,1856,3005,84329,84937,3215,25839,4051,8526,7434,1280,3725,3360,7818,5345,54535,81570,2018,65018,1176,29080,2162,259232,84458,142940,27283,6120,51341,4624,4092,8372,5190,10493,27097,54739,525,23604,9978,60,112399,2790,5157,6781,9360,25827
GNF2_MCL1	49	9592,10695,6275,9473,199,7097,51311,23527,11024,8905,4615,50856,2124,834,5330,3459,64174,752,55454,4688,1520,5580,3726,51170,10261,409,64127,4332,80223,9960,4170,1230,5538,3689,9802,51291,29108,8676,10312,5791,6402,3055,25939,4671,1536,5997,51363,9936,54918	4246,604,84645,6209,10454,114801,115548,10157,1040,22856,2869,9306,9874,214,51343,813,1717,6533,4023,7415,54768,2207,6464,59338,50,288,5333,23420,5756,1909,22836,6599,84830,2353,7020,51479,6091,3785,7275,5692,8774,57407,84666,51635,3918,9620,57231,27445,3209
MODULE_505	13	1652,29104,7366,7299,3295,3290,7363,3292,1585,6716,51478,7306,6783	3007,947,10252,10195,10085,84901,23764,6737,3119,25901,1837,116985,79626
GCM_APEX1	105	6141,3150,6139,6143,9045,6634,3184,829,6633,865,4670,5411,4841,71,6429,5885,3192,8683,3015,8665,6627,5428,8872,1938,5501,6428,6427,5682,3178,6223,5686,7073,6626,6635,10212,9326,84823,5216,6129,6128,5690,4869,6434,6880,4736,6228,6229,1660,6193,6202,6201,8087,1975,10574,4076,10575,3065,5478,3020,1854,10987,2098,4673,5859,5757,3276,4150,5093,5094,5250,387,5714,10657,3550,293,1192,4172,4691,55967,5720,1973,1072,1937,1725,5436,9774,7534,4666,5440,3251,6613,6418,328,6950,2665,2079,4678,10155,1460,6155,11137,7884,6159,3608,6144	57683,6210,9093,54471,1301,57379,6818,4833,862,10452,8444,10020,23013,55742,29994,1947,91746,8675,9568,22913,337,55621,22821,5649,54516,5360,4629,4921,8629,10871,4778,2547,3158,6892,10522,57017,2033,39,3047,1593,26287,3991,23586,310,170959,4790,10093,83539,54800,23300,596,7443,9843,9482,8803,22914,64318,2558,9658,11316,1821,79612,23384,5526,396,2686,10457,25920,84844,2806,114907,6520,7287,5476,4122,4640,4878,25852,368,6748,10974,5728,2171,4891,56649,5032,22992,23522,2596,85397,10024,51106,51514,5346,51364,9491,84033,3853,113263,79886,6760,90627,6482,6448,4253
MODULE_112	233	2719,1809,1281,2628,1290,10457,1113,1513,1306,4060,1028,8406,2878,857,6525,2619,5947,2274,4129,3371,3479,716,10202,1114,10231,10439,7857,5950,125,4852,2167,6857,284,3481,220,288,7103,1644,2596,1545,7447,390,5569,7057,1000,2705,10544,3851,2034,2615,2633,361,10406,2869,2920,3675,2214,2152,3248,1117,6286,1439,688,6662,1672,246,1048,23650,563,5652,6480,49,4620,933,189,1565,1855,7702,4208,5530,23209,1896,1549,5789,1946,1161,866,1029,5053,727,3698,6364,433,411,4916,715,1524,333,2571,4884,6000,5364,5121,1400,2562,4826,11013,4857,1804,4974,5800,10810,4756,6507,3892,6239,10485,7368,3163,7141,1443,5166,2117,2529,2623,6276,6493,1800,8739,1395,4604,3084,2624,5023,6351,7299,6329,8942,5657,10874,25797,4795,5745,224,9104,3562,1356,3960,3699,1373,10993,1610,3718,570,4886,4982,5802,2357,3805,4919,2047,5801,3821,2742,2897,5793,4923,1141,8581,9154,3860,6490,6699,6361,6258,5675,9610,6948,4842,634,7140,6196,51352,6906,7053,5940,2949,3846,5453,7018,7079,5452,5330,222,1962,3909,5293,7369,7039,5079,2810,1803,1284,1901,2922,4745,2889,266,5957,6569,5588,8404,6344,7306,3745,6953,4760,4222,10216,2947,4314,7980,2139,1071,8076,1015,6939,54578,3670,6296,2921,3772,7068	5827,7475,51141,2157,51207,23017,79842,54675,1781,1147,51747,55206,1956,4204,2206,83540,112755,3615,22891,53343,22,5829,7005,6304,55571,26220,196,5346,1468,1017,6672,27068,27295,646,8745,5366,8544,25934,10046,10670,63898,51449,51291,3490,2918,9775,977,9601,10444,8412,51520,249,2260,321,11024,22914,51087,3024,7205,696,2986,242,80271,1829,7054,5141,25875,124540,7222,1054,6741,8022,2963,8349,84343,1577,83473,819,5756,1020,3507,23036,5880,4618,1350,6617,4849,10472,23461,4616,10659,116372,5515,8766,6990,4722,55870,9891,8089,79180,9097,10226,55244,1579,8527,50619,5690,4438,684,23568,355,4774,5746,5920,6509,64778,10570,5919,11040,50862,5101,11322,4878,958,1789,8239,7691,57186,55120,55531,3420,10859,720,5155,492,6591,3853,782,2104,4140,54927,8763,23604,4005,3242,123879,1528,5520,51560,1525,79921,10608,4798,4173,54778,9320,5662,54103,25873,27429,1995,5558,60467,58480,50937,9140,51065,257364,9508,25988,4693,27338,1018,4591,89792,6664,51293,9690,6483,146198,4829,8869,9837,400,4802,7056,10492,51386,84364,8431,4597,3182,9358,27336,63934,4329,5089,6346,1277,78987,3552,6657,55024,5962,6359,54363,9874,1415,1259,10423,8886,5163,92342,597,8558,26277,2805,55905,7036,3911,23617,3653,23468,6093,55000,25974,50848,23376,2323,26056,23034,5971,7431
GNF2_GSTM1	101	5919,10840,10747,1565,126,7448,53841,189,2184,2944,84619,2946,335,4143,3931,319,22977,3155,2161,2159,710,1544,1571,6898,5345,2147,5950,341,344,435,346,10400,8659,27232,1559,1558,51733,27141,7263,22809,3158,5444,51181,5446,4837,8309,3240,433,283,3697,5267,3700,5827,2954,3699,1757,6580,3242,325,10864,6291,3483,5624,731,259,2538,1593,10993,1548,10998,729,1892,51268,2584,462,23498,8630,3273,3083,1050,8824,3249,1066,10841,57834,66002,164656,2705,6554,5105,3795,5004,1579,3263,2593,3053,8529,8608,28959,5005,368	10775,533,9891,3693,4336,10578,3344,54700,3785,4318,2135,8720,1327,9187,23310,23036,3891,64319,2305,51291,2779,728239,400961,54458,50856,55872,6718,55810,6768,25799,4778,283489,79921,8428,55253,79672,10384,885,9645,3605,4666,10489,2113,10512,56890,1392,1808,112858,6188,29929,6125,5025,57222,22928,5515,602,23384,4693,815,51228,231,54487,9167,1734,3364,664,7033,23095,4153,23369,23475,51259,55076,84747,9938,2182,10542,4893,56666,54474,5232,1439,7367,1381,6374,6729,7003,5430,5274,29901,56888,8111,1118,3849,51548,10456,4145,217,55904,10098,5226
GCM_CSNK1D	23	23215,55738,54928,128866,6293,54476,29978,29979,23118,64786,7813,23524,55683,55754,84146,55274,387509,65110,9867,55177,51366,1453,10890	6508,64802,55023,58488,27198,3624,5830,9454,23527,5976,1653,26024,821,167,26502,84002,9079,114,140459,2934,652,1478,403
