query,subject,score,label
23237,3818,0,0
129049,29122,0,0
37,9547,0,0
92241,7167,0,0
6160,6193,777,1
3221,3216,800,1
5594,84823,852,1
9348,81875,0,0
25949,6633,800,1
9524,1650,873,1
54148,10884,723,1
1012,55182,0,0
4723,27089,800,1
5331,121642,0,0
1671,2822,0,0
5883,135458,859,1
3761,10223,0,0
147183,1303,0,0
51412,53405,0,0
718,1380,870,1
56180,285195,0,0
55973,23168,0,0
4695,4719,998,1
50861,28231,0,0
25885,5431,855,1
1175,55589,719,1
9668,2542,0,0
4731,84300,0,0
8574,641371,0,0
80279,51593,0,0
7035,55234,780,1
8736,25885,0,0
3985,10631,0,0
57721,9397,0,0
57719,143686,0,0
140609,5700,0,0
3812,28966,0,0
1998,84696,0,0
284439,8803,0,0
1104,5902,809,1
6176,6160,803,1
23225,4841,855,1
488,649,0,0
3843,9615,0,0
7298,51506,799,1
10236,3593,0,0
79581,22796,0,0
6801,7203,860,1
1314,375616,0,0
8836,29844,0,0
6203,6729,800,1
11283,85329,0,0
196383,8851,0,0
25930,51271,870,1
4603,8785,0,0
80145,131177,0,0
6004,5167,0,0
51073,65080,920,1
26121,55234,800,1
6631,6625,925,1
5885,27127,976,1
161424,145501,0,0
79876,22881,0,0
6218,6202,955,1
6512,5802,0,0
55612,6499,835,1
129868,2011,0,0
57697,2176,993,1
3948,3939,912,1
3094,2026,822,1
1982,83875,0,0
26025,9470,0,0
26256,4921,0,0
57048,115362,0,0
8175,5356,871,1
5634,55224,0,0
5588,8915,860,1
4224,23185,0,0
526,55004,993,1
9045,2197,800,1
7379,144233,0,0
129049,51163,0,0
55291,1762,0,0
4726,4541,800,1
262,7543,0,0
27043,81887,986,1
9002,9985,0,0
950,54850,0,0
441161,11177,0,0
4701,4719,800,1
2703,64135,0,0
5813,57731,0,0
4711,126328,777,1
26086,483,0,0
6210,6128,934,1
2395,11146,0,0
6726,6222,800,1
4537,4706,800,1
10940,5976,742,1
10492,55288,0,0
134701,341,0,0
4908,1418,0,0
51218,51027,917,1
6778,6451,737,1
57798,5927,764,1
8050,5163,834,1
51534,9798,800,1
6132,6210,944,1
29883,79918,0,0
8175,9129,775,1
10595,3798,0,0
84660,90550,0,0
1609,10938,938,1
1327,486,0,0
85315,57097,0,0
3764,6617,0,0
9436,5534,0,0
6185,6184,810,1
10776,345,0,0
5468,10133,0,0
219699,3002,0,0
114780,9716,0,0
26503,84233,0,0
4701,4728,800,1
23576,10677,0,0
3170,3077,0,0
2556,5075,0,0
9982,165679,0,0
6188,6176,810,1
7743,9572,0,0
126668,2650,0,0
740,51116,800,1
80306,9477,993,1
23287,23585,0,0
84293,6392,0,0
11001,339221,0,0
9318,10980,986,1
256126,9719,0,0
23020,55110,800,1
51412,6602,780,1
55696,51645,800,1
10841,25849,0,0
55165,1811,0,0
3699,6002,0,0
145957,343637,0,0
5704,5720,773,1
116448,63925,0,0
57492,6760,902,1
7077,79444,0,0
84950,57819,800,1
6218,6165,800,1
6742,3816,0,0
7871,5515,860,1
129642,84333,0,0
10671,79848,710,1
9950,51308,0,0
8664,1973,806,1
58525,23168,0,0
10325,55004,993,1
